Payer,Payment Date,NPI,Payment Number,Amount,Claim Count
UnitedHealthcare,2/18/2021,1366479099,1TR77111294,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142761,$83.70 ,11
UnitedHealthcare,2/18/2021,1366479099,1TR77142808,$210.25 ,28
UnitedHealthcare,2/18/2021,1366479099,1TR77121121,$58.32 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77142823,$92.98 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77127195,$747.98 ,23
UnitedHealthcare,2/18/2021,1366479099,1TR77127194,$59.63 ,8
UnitedHealthcare,2/18/2021,1659390763,1TR77128104,$16.09 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77111300,$321.68 ,11
UnitedHealthcare,2/18/2021,1366479099,1TR77111292,$88.25 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77111291,$18.76 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77111295,$9.51 ,3
UnitedHealthcare,2/18/2021,1366479099,1609097080,$62.44 ,20
UHC Insurance Company of the River Valley,2/18/2021,1366479099,1TR77142787,$17.18 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77098500,$166.46 ,12
UnitedHealthcare,2/18/2021,1245396605,1TR77095752,$77.20 ,8
UnitedHealthcare,2/18/2021,1366479099,1TR77069664,$5.18 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069672,$300.00 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77069667,$70.30 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77069674,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77060312,$90.16 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77079256,$142.13 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142753,$30.86 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142777,$163.94 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142820,"$7,444.81 ",228
UnitedHealthcare,2/18/2021,1366479099,1TR77099966,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142769,$257.31 ,8
UnitedHealthcare,2/18/2021,1366479099,1TR77142804,$265.34 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142799,$144.26 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142756,$109.69 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142743,$185.47 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142816,$337.96 ,24
UnitedHealthcare,2/18/2021,1366479099,1TR77142783,$64.54 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142797,"$3,666.65 ",128
UnitedHealthcare,2/18/2021,1366479099,1TR77134550,$30.87 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142759,$641.30 ,35
UnitedHealthcare,2/18/2021,1366479099,1TR77142802,$230.46 ,38
UnitedHealthcare,2/18/2021,1366479099,1TR77079259,$200.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142778,"$3,761.23 ",49
UnitedHealthcare,2/18/2021,1366479099,1TR77142749,$22.50 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142814,$226.39 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77088856,$103.13 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142757,$204.02 ,38
UnitedHealthcare,2/18/2021,1366479099,1TR77142793,$450.11 ,36
UnitedHealthcare,2/18/2021,1366479099,1TR77142780,$129.29 ,8
UnitedHealthcare,2/18/2021,1366479099,1TR77142794,$28.42 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142752,$190.28 ,15
UnitedHealthcare,2/18/2021,1366479099,1TR77142781,$66.47 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77142801,$406.27 ,12
UnitedHealthcare,2/18/2021,1366479099,1TR77142784,"$3,760.17 ",75
UnitedHealthcare,2/18/2021,1366479099,1TR77142812,"$6,095.27 ",202
UnitedHealthcare,2/18/2021,1366479099,1TR77151409,"$229,025.33 ",7776
UnitedHealthcare,2/18/2021,1366479099,1TR77142767,$340.45 ,12
UnitedHealthcare,2/18/2021,1366479099,1TR77142819,$19.53 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142760,$322.64 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77142762,$26.88 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142738,$100.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142792,$154.25 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77142791,$200.00 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77134556,$200.67 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142773,$426.09 ,21
UnitedHealthcare,2/18/2021,1366479099,1TR77214079,$45.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142755,$36.88 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142790,"$2,077.28 ",38
Golden Rule,2/18/2021,1366479099,9G02122106682,$200.23 ,4
AARP Supplemental Health Plans insured by UnitedHealthcare,2/18/2021,1366479099,9609194245,$0.00 ,15
AARP Supplemental Health Plans insured by UnitedHealthcare,2/18/2021,1619913449,9609198947,$0.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77110499,$0.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77134546,$0.00 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142795,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77111289,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77079260,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77134547,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069666,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142741,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77079264,$0.00 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142748,$0.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142785,$0.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142766,$0.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142764,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77079262,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77111303,$0.00 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142744,$0.00 ,2
UnitedHealthcare,2/18/2021,1023055126,1TR77059096,$0.00 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142796,$0.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77079266,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77079267,$0.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77111304,$0.00 ,2
UnitedHealthcare,2/18/2021,1619913449,1TR77128085,$0.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142774,$0.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77079255,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069665,$0.00 ,1
UHC Community Plan of CA Inc,2/18/2021,1104016088,2.02E+14,"$1,918.56 ",63
UHC Community Plan of CA Dual,2/18/2021,1104016088,2.02E+14,$940.87 ,20
UHC Community Plan of WA,2/18/2021,1104016088,2.02E+14,$90.00 ,1
AppleCare Medical Group St Francis,2/18/2021,1366479099,609234584,"$1,555.00 ",20
United HealthCare Services Inc,2/18/2021,1366479099,1SG08744977,"$3,569.11 ",352
Golden Rule,2/18/2021,1366479099,9G02112105760,$200.00 ,4
Medica,2/18/2021,1366479099,1609110824,$203.46 ,5
COVID19 HRSA Uninsured Treatment Fund,2/18/2021,1366479099,609114869,"$744,345.05 ",9416
Medica,2/18/2021,1366479099,1QI01123535,$258.58 ,7
AppleCare Medical Group,2/18/2021,1366479099,609614857,"$17,704.64 ",238
UHC Member Payment,2/18/2021,,10211219D356021,$37.03 ,1
UHC Member Payment,2/18/2021,,10211219D40A021,$4.53 ,1
UHC Member Payment,2/18/2021,,10211219E440021,$5.82 ,1
UHC Member Payment,2/18/2021,,10212219EDAE021,$27.53 ,1
UHC Member Payment,2/18/2021,,10212219EDB6021,$109.37 ,1
UHC Member Payment,2/18/2021,,10211219D866021,$72.16 ,1
UHC Member Payment,2/18/2021,,10211219DA15021,$11.52 ,1
UHC Member Payment,2/18/2021,,10211219E031021,$83.95 ,1
UHC Member Payment,2/18/2021,,10211219D86F021,$28.15 ,1
UHC Member Payment,2/18/2021,,10211219D864021,$28.65 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/18/2021,1659390763,9609193401,$324.43 ,11
UNITED BEHAVIORAL HEALTH,2/18/2021,1366479099,1609469397,$0.00 ,2
AppleCare Medical Group,2/18/2021,1366479099,609233999,$0.00 ,39
AppleCare Medical Group St Francis,2/18/2021,1366479099,609234583,$0.00 ,216
UHC Community Plan of AZ Acute DD,2/18/2021,1104016088,2.02E+14,$0.00 ,2
UnitedHealthcare Services,2/18/2021,1366479099,1N0000000119036,$0.00 ,1
UnitedHealthcare Services,2/18/2021,1366479099,1N0000000119036,$0.00 ,1
AppleCare Medical Group,2/18/2021,1366479099,609614856,$0.00 ,540
UNITED BEHAVIORAL HEALTH,2/18/2021,1366479099,1609469955,$0.00 ,3
UnitedHealthcare,2/18/2021,1619913449,1609565957,$0.00 ,1
UMR AVIVA USA CORPORATION,2/18/2021,1366479099,608801036,$62.04 ,2
UMR JINNY BEAUTY SUPPLY INC,2/18/2021,1366479099,608800416,$180.76 ,1
UMR MGM RESORTS INTERNATIONAL,2/18/2021,1366479099,608801033,$653.04 ,15
UMR COLUMBIA SUSSEX MANAGEMENT LLC,2/18/2021,1366479099,608801037,$11.35 ,1
UMR NRECA,2/18/2021,1366479099,608801038,$0.00 ,1
UMR USNAS,2/18/2021,1366479099,608801059,$0.00 ,3
UMR MGM RESORTS INTERNATIONAL,2/18/2021,1366479099,608801034,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,608800419,$0.00 ,2
UHC Community Plan New Jersey,2/17/2021,1104016088,2.02E+14,$100.00 ,1
UHIC,2/17/2021,1104016088,2.02E+14,$100.00 ,1
UHC Community Plan of CA Dual,2/17/2021,1104016088,2.02E+14,$230.24 ,7
UnitedHealthcare,2/17/2021,1366479099,1TR77016112,$29.05 ,11
AARP Supplemental Health Plans insured by UnitedHealthcare,2/17/2021,1619913449,9608343484,$0.00 ,40
AARP Supplemental Health Plans insured by UnitedHealthcare,2/17/2021,1659390763,9608338509,"$1,074.10 ",25
AppleCare Medical Group,2/17/2021,1366479099,608785187,$0.00 ,1600
AppleCare Medical Group St Francis,2/17/2021,1366479099,608785202,$0.00 ,248
AppleCare Medical Group St Francis,2/17/2021,1366479099,608785203,$0.00 ,7
UnitedHealthcare,2/17/2021,1366479099,1608649197,"$24,518.95 ",697
GRANITE STATE INSURANCE COMPANY,2/17/2021,,608731767,$0.00 ,1
THE INSURANCE COMPANY OF THE STATE OF PA,2/17/2021,,608731715,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,9N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,9N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,9N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,1N0000000118612,$0.00 ,1
UMR TIB THE INDEPENDENT BANKERSBANK,2/17/2021,1366479099,608471899,$41.54 ,1
UMR EXTRA SPACE MANAGEMENT INC,2/17/2021,1366479099,608472539,$0.00 ,1
UMR,2/17/2021,1366479099,608472546,$0.00 ,14
UMR,2/17/2021,1366479099,608472545,"$10,722.91 ",226
UMR USNAS,2/17/2021,1366479099,608471907,$1.60 ,1
UMR AIR METHODS,2/17/2021,1366479099,608471898,$21.50 ,2
UnitedHealthcare,2/17/2021,1366479099,608471906,$0.00 ,1
UMR STERLING MEDICAL CORPORATION,2/17/2021,1366479099,608472535,$25.07 ,1
UnitedHealthcare,2/17/2021,1366479099,608471905,$48.40 ,1
UMR VAIL RESORTS,2/17/2021,1366479099,608472537,$400.00 ,4
UMR KIA MOTORS AMERICA INC,2/17/2021,1366479099,608471902,"$1,371.69 ",33
UMR LUCKY CHANCES INC AND HEALTH BENEFITS GROUP L,2/17/2021,1366479099,608471900,$144.21 ,3
UMR USNAS,2/17/2021,1366479099,608471908,$0.00 ,2
UMR ZS ASSOCIATES INC,2/17/2021,1366479099,608472540,$328.11 ,10
UnitedHealthcare Services,2/17/2021,1366479099,1N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,9N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,9N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,1E0000000080076,$43.93 ,1
Golden Rule,2/17/2021,1366479099,9G02102105079,$0.00 ,2
UnitedHealthcare Services,2/17/2021,1366479099,1E0000000080036,$37.66 ,1
UnitedHealthcare Services,2/17/2021,1366479099,1E0000000080076,$86.17 ,1
UnitedHealthcare Services,2/17/2021,1366479099,1N0000000118612,$0.00 ,1
UnitedHealthcare Services,2/17/2021,1366479099,1N0000000118550,$0.00 ,1
UHC HARVARD PILGRIM,2/17/2021,1366479099,608471903,$156.03 ,3
UMR UNIVERSITY OF ARKANSAS SYSTEM,2/17/2021,,608480886,$45.83 ,1
UHC HARVARD PILGRIM HPHC INSURANCE CO,2/17/2021,1366479099,608472541,$608.17 ,13
UMR COMPASS ROSE BENEFITS GROUP,2/17/2021,1366479099,608471901,$42.13 ,1
UHC HARVARD PILGRIM,2/17/2021,1366479099,608471904,$0.00 ,11
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/17/2021,1366479099,608472544,$238.62 ,5
UHC NTCA GROUP HEALTH PROGRAM,2/17/2021,1366479099,608472543,$39.59 ,1
UMR DSW INC,2/17/2021,1366479099,608472538,$285.89 ,4
UHC HARVARD PILGRIM HPHC INSURANCE CO,2/17/2021,1366479099,608472542,$0.00 ,8
UMR VENETIAN BENEFITS,2/17/2021,1366479099,608472536,$151.97 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/17/2021,1295891554,9608339515,$0.00 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/17/2021,1366479099,9608338510,$0.00 ,47
UHC Benefits Plan of CA,2/17/2021,1366479099,1SW10350613,$662.65 ,15
UHC Community Plan of CA Inc,2/17/2021,1104016088,2.02E+14,$0.00 ,3
UHC Community Plan of NY,2/17/2021,1104016088,2.02E+14,$0.00 ,1
Oxford Health Insurance Inc,2/17/2021,1366479099,12193383,$0.00 ,2
UHC Member Payment,2/17/2021,,10211219CE79021,$6.08 ,1
UHC Member Payment,2/17/2021,,10210219B39B021,$18.42 ,1
UHC Member Payment,2/17/2021,,10210219B41B021,$7.49 ,1
UHC Member Payment,2/17/2021,,10210219AAC7021,$13.11 ,1
UHC Member Payment,2/17/2021,,10210219A672021,$46.44 ,1
UHC Member Payment,2/17/2021,,10210219AE16021,$11.69 ,1
UHC Member Payment,2/17/2021,,10210219B38F021,$36.58 ,1
UHC Member Payment,2/17/2021,,10210219B389021,$20.00 ,1
UHC Member Payment,2/17/2021,,10210219A799021,$26.22 ,1
UHC Member Payment,2/17/2021,,10210219A79D021,$30.98 ,1
UHC Member Payment,2/17/2021,,10210219B61F021,$10.74 ,1
UHC Member Payment,2/17/2021,,10210219AE0D021,$6.43 ,1
UHC Member Payment,2/17/2021,,10210219B38E021,$28.65 ,1
UHC Member Payment,2/17/2021,,10210219AAC9021,$4.61 ,1
UHC Member Payment,2/17/2021,,10211219B770021,$6.75 ,1
UHC Member Payment,2/17/2021,,10210219B3A3021,$25.07 ,1
UHC Member Payment,2/17/2021,,10210219B621021,$10.74 ,1
UHC Member Payment,2/17/2021,,10210219AE13021,$95.08 ,1
UHC Community Plan of CA Dual,2/16/2021,1104016088,2.02E+14,$54.54 ,1
UHC Community Plan of CA Inc,2/16/2021,1104016088,2.02E+14,"$1,980.05 ",64
UHC Community Plan of NY,2/16/2021,1104016088,2.02E+14,$83.05 ,2
UHC Community Plan of CA Inc,2/16/2021,1104016088,2.02E+14,"$1,419.56 ",37
UHC of FL Dual,2/16/2021,1104016088,2.02E+14,$17.87 ,1
UHC DESERT MUTUAL BENEFIT ADMINISTRATORS,2/16/2021,1366479099,608068395,$483.98 ,14
UMR COMPASS ROSE BENEFITS GROUP,2/16/2021,1366479099,608067686,$129.94 ,4
UMR ASARCO LLC,2/16/2021,1366479099,608068382,$100.00 ,1
UMR EXTRA SPACE MANAGEMENT INC,2/16/2021,1366479099,608068392,$143.93 ,3
UMR,2/16/2021,1366479099,608068399,$0.00 ,20
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/16/2021,1366479099,608068397,$0.00 ,2
UMR BIOMERIEUX INC,2/16/2021,1366479099,608068391,$219.25 ,3
UMR INTEGRITY APPLICATIONS INCORPORATED,2/16/2021,1366479099,608068381,$200.00 ,2
UMR KAWASAKI MOTORS MANUFACTURING CORP USA,2/16/2021,1366479099,608068380,$380.64 ,7
Oxford Health Insurance Inc,2/16/2021,1366479099,12185108,$9.24 ,84
UHC Benefits Plan of CA,2/16/2021,1366479099,1SW10345559,$340.22 ,7
UnitedHealthcare,2/16/2021,1366479099,1TR76933121,$37.19 ,10
UHC of Wisconsin Inc,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of AZ Acute DD,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHIC,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of WA,2/16/2021,1104016088,2.02E+14,$0.00 ,1
Golden Rule,2/16/2021,1366479099,1G02092105185,$0.00 ,1
Golden Rule,2/16/2021,1366479099,1G02092105186,$0.00 ,2
UMR USNAS,2/16/2021,1366479099,608067690,$0.00 ,1
UMR ELECTRONIC THEATRE CONTROLS INC,2/16/2021,1366479099,608068383,$80.16 ,1
UMR USNAS,2/16/2021,1366479099,608067689,$89.16 ,2
UMR NRECA,2/16/2021,1366479099,608068393,$995.00 ,12
UMR VENETIAN BENEFITS,2/16/2021,1366479099,608068385,$61.47 ,1
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/16/2021,1366479099,608068396,$492.38 ,12
UMR MARTEN TRANSPORT LTD,2/16/2021,1366479099,608067687,$13.11 ,2
UMR VAIL RESORTS,2/16/2021,1366479099,608068389,$140.00 ,2
UMR EVANS FOOD GROUP LTD,2/16/2021,1366479099,608067683,$84.87 ,2
UMR QBE THE AMERICAS,2/16/2021,1366479099,608068386,$203.56 ,7
UMR LVMPD EMPLOYEES HEALTH WELFARE TRUST,2/16/2021,1366479099,608068384,$198.98 ,8
AARP Supplemental Health Plans insured by UnitedHealthcare,2/16/2021,1659390763,9607907690,$289.63 ,3
AARP Supplemental Health Plans insured by UnitedHealthcare,2/16/2021,1053785345,9607910807,$0.00 ,1
UHIC,2/16/2021,1104016088,2.02E+14,$0.00 ,2
UHC Community Plan of AZ Acute DD,2/16/2021,1104016088,2.02E+14,$0.00 ,1
Medica,2/16/2021,1366479099,1608264969,"$1,174.17 ",21
COVID19 HRSA Uninsured Treatment Fund,2/16/2021,1366479099,608270091,"$618,576.39 ",8286
UnitedHealthcare,2/16/2021,1366479099,1608216874,$100.50 ,21
UHC Member Payment,2/16/2021,,102092197F4F021,$22.79 ,1
UHC Member Payment,2/16/2021,,102092197F4F021,$22.79 ,1
UHC Member Payment,2/16/2021,,1.02E+14,$11.11 ,1
UHC Member Payment,2/16/2021,,102092197D97021,$21.11 ,1
UHC Member Payment,2/16/2021,,10209219758C021,$21.11 ,1
UHC Member Payment,2/16/2021,,10209219756A021,$35.15 ,1
UHC Member Payment,2/16/2021,,1.02E+14,$355.51 ,1
UHC Member Payment,2/16/2021,,1.02E+14,$45.36 ,1
UHC Member Payment,2/16/2021,,102092197D91021,$25.46 ,1
UHC Member Payment,2/16/2021,,102092197D9A021,$46.39 ,1
UHC Member Payment,2/16/2021,,1020921971A4021,$7.37 ,1
UHC Member Payment,2/16/2021,,1.02E+14,$5.55 ,1
UHC Member Payment,2/16/2021,,1020921972A5021,$10.76 ,1
UHC Member Payment,2/16/2021,,1.02E+14,$17.10 ,1
UHC Member Payment,2/16/2021,,102092197D9C021,$30.32 ,1
UHC Member Payment,2/16/2021,,10209219719A021,$44.21 ,1
UHC Member Payment,2/16/2021,,102102199FE4021,$18.76 ,1
UHC Member Payment,2/16/2021,,102092197DA3021,$6.31 ,1
UHC Member Payment,2/16/2021,,102092197D2B021,$38.16 ,1
UHC Member Payment,2/16/2021,,10209219758A021,$34.62 ,1
UHC Member Payment,2/16/2021,,1020921972AF021,$10.50 ,1
UHC Member Payment,2/16/2021,,102092197D9F021,$6.92 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/16/2021,1659390763,9607907690,$289.63 ,3
UnitedHealthcare Services,2/16/2021,1366479099,1E0000000079945,$16.47 ,1
UnitedHealthcare Services,2/16/2021,1366479099,1N0000000118406,$0.00 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/16/2021,1053785345,9607910807,$0.00 ,1
UHIC,2/16/2021,1104016088,2.02E+14,$0.00 ,2
UHC Community Plan of WA,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of AZ Acute DD,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHC of Wisconsin Inc,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UHIC,2/16/2021,1104016088,2.02E+14,$0.00 ,1
UnitedHealthcare,2/16/2021,1366479099,1608216874,$100.50 ,21
COVID19 HRSA Uninsured Treatment Fund,2/16/2021,1366479099,608270091,"$618,576.39 ",8286
UHC Community Plan of CA Dual,2/16/2021,1104016088,2.02E+14,$0.00 ,9
UHC Benefits Plan of CA,2/16/2021,1366479099,1SW10345559,$340.22 ,7
UnitedHealthcare,2/16/2021,1366479099,1TR76933121,$37.19 ,10
AARP Supplemental Health Plans insured by UnitedHealthcare,2/12/2021,1366479099,9607622367,$0.00 ,105
AARP Supplemental Health Plans insured by UnitedHealthcare,2/12/2021,1033137088,9607636422,$0.00 ,1
NEW HAMPSHIRE INSURANCE COMPANY,2/12/2021,,607791967,$0.00 ,1
UHC Member Payment,2/12/2021,,10209219661A020,$45.30 ,1
UHC Member Payment,2/12/2021,,1020921962FA020,$53.39 ,1
UHC Member Payment,2/12/2021,,1020921962F8020,$11.45 ,1
UHC Member Payment,2/12/2021,,10208219358F020,$4.61 ,1
UHC Member Payment,2/12/2021,,1.02E+30,$18.42 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$11.99 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$9.55 ,1
UHC Member Payment,2/12/2021,,1020921969B6020,$26.15 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$17.81 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$3.04 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$41.54 ,1
UHC Member Payment,2/12/2021,,1.02E+30,$41.14 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$80.61 ,1
UHC Member Payment,2/12/2021,,10208219431A020,$34.37 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$5.55 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$4.37 ,1
UHC Member Payment,2/12/2021,,102082193FF1020,$10.74 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$4.61 ,1
UHC Member Payment,2/12/2021,,10209219687B020,$10.91 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$7.54 ,1
UHC Member Payment,2/12/2021,,10208219358C020,$11.99 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$11.99 ,1
UHC Member Payment,2/12/2021,,102082193FFD020,$10.74 ,1
UHC Member Payment,2/12/2021,,102082193A14020,$13.11 ,1
UHC Member Payment,2/12/2021,,102082193A67020,$13.09 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$56.52 ,1
UHC Member Payment,2/12/2021,,1.02E+14,$3.90 ,1
UHC Member Payment,2/12/2021,,102092195FFF020,$6.80 ,1
UHC Member Payment,2/12/2021,,10209219662D020,$73.75 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079823,$51.71 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$43.93 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1N0000000118215,$0.00 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$120.69 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$64.54 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$20.22 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079823,$11.35 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$34.62 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079823,$2.26 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1N0000000118215,$0.00 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079853,$29.56 ,1
UnitedHealthcare Services,2/12/2021,1366479099,1E0000000079823,$3.22 ,1
AARP Supplemental Health Plans insured by UnitedHealthcare,2/12/2021,1619913449,9607624974,$240.00 ,84
UnitedHealthcare,2/12/2021,1366479099,1607796763,$230.08 ,17
UNITED BEHAVIORAL HEALTH,2/12/2021,1366479099,1607794339,$0.00 ,1
Medica,2/12/2021,1366479099,1607864091,$0.00 ,1
UnitedHealthcare,2/12/2021,1366479099,1607796762,"$67,650.27 ",1879
UNITED BEHAVIORAL HEALTH,2/12/2021,1366479099,1607796764,$0.00 ,1
Golden Rule,2/12/2021,1366479099,1G02082107778,$0.00 ,1
Golden Rule,2/12/2021,1366479099,9G02082107779,$177.91 ,7
UnitedHealthcare,2/12/2021,1366479099,1TR76858535,$215.46 ,7
UHC Benefits Plan of CA,2/12/2021,1366479099,1SW10342674,$275.71 ,9
UMR,2/12/2021,1366479099,607503159,$0.00 ,11
UMR,2/12/2021,1366479099,607503158,"$1,736.45 ",48
UMR TRUE WORLD HOLDINGS LLC,2/12/2021,1366479099,607502520,$204.91 ,4
UMR TRANSITAMERICA SERVICES INC,2/12/2021,1366479099,607503155,$264.96 ,4
UMR WORLD WIDE TECHNOLOGY HOLDING CO INC,2/12/2021,1366479099,607503153,$138.58 ,10
UMR FREEDOM MORTGAGE CORPORATION,2/12/2021,1366479099,607502519,$200.34 ,4
UMR THE WINE GROUP INC,2/12/2021,1366479099,607502522,$458.08 ,9
UMR GOLDEN BANK NA,2/12/2021,1366479099,607503156,$8.62 ,3
UMR PALO ALTO FOUNDATION MEDICAL GROUP,2/12/2021,1366479099,607502518,$36.56 ,2
UMR UNITED FURNITURE INDUSTRIES INC,2/12/2021,1366479099,607502521,$2.26 ,1
UMR LAWRENCE MEMORIAL HOSPITAL,2/12/2021,1366479099,607503157,$22.26 ,1
UMR USNAS,2/12/2021,1366479099,607502523,$0.00 ,3
UMR WABASH NATIONAL,2/12/2021,1366479099,607503154,$60.48 ,2
UMR LUCKY CHANCES INC AND HEALTH BENEFITS GROUP L,2/11/2021,1366479099,607040979,$43.93 ,4
UMR INLAND TRUCK PARTS COMPANY,2/11/2021,1366479099,607042264,$90.64 ,1
UnitedHealthcare,2/11/2021,1366479099,607040981,$186.16 ,5
UMR EVERGREEN SHIPPING AGENCY AMERICA CORP,2/11/2021,1366479099,607040978,$97.82 ,8
UMR COOPERATIVE RESOURCES INTERNATIONAL,2/11/2021,1366479099,607042261,$11.52 ,2
UMR MURATA ELECTRONICS MURATA POWER,2/11/2021,1366479099,607042265,$96.88 ,4
UMR RUDOLPH FOODS COMPANY INC,2/11/2021,1366479099,607042260,$94.84 ,3
